player_name,season_label,league,player_id,appearances,goals_conceded_total,clean_sheets,wins,minutes_total,yellow_cards,red_cards,goals_conceded_per90,clean_sheet_pct,win_rate
Aïssa Mandi,2020-2021,es La Liga,80293,27,34.0,10,12,2392.0,6.0,1.0,1.279,0.37,0.444
Aïssa Mandi,2021-2022,es La Liga,80293,14,14.0,5,6,1260.0,3.0,0.0,1.0,0.357,0.429
Aïssa Mandi,2022-2023,es La Liga,80293,16,18.0,4,10,1382.0,1.0,0.0,1.172,0.25,0.625
Aïssa Mandi,2023-2024,es La Liga,80293,2,2.0,1,2,180.0,1.0,0.0,1.0,0.5,1.0
Bafodé Diakité,2022-2023,fr Ligue 1,463605,29,35.0,8,14,2535.0,6.0,0.0,1.243,0.276,0.483
Bafodé Diakité,2023-2024,fr Ligue 1,463605,3,3.0,1,1,270.0,1.0,0.0,1.0,0.333,0.333
Bamo Meïté,2022-2023,fr Ligue 1,807165,16,18.0,5,4,1435.0,4.0,0.0,1.129,0.312,0.25
Bamo Meïté,2023-2024,fr Ligue 1,807165,4,5.0,1,1,329.0,0.0,0.0,1.368,0.25,0.25
Baptiste Santamaria,2020-2021,de Bundesliga,285323,25,42.0,5,8,1946.0,4.0,0.0,1.942,0.2,0.32
Baptiste Santamaria,2020-2021,fr Ligue 1,285323,3,2.0,2,2,270.0,1.0,0.0,0.667,0.667,0.667
Baptiste Santamaria,2021-2022,fr Ligue 1,285323,12,16.0,3,5,1056.0,3.0,0.0,1.364,0.25,0.417
Baptiste Santamaria,2022-2023,fr Ligue 1,285323,14,13.0,5,9,1159.0,2.0,0.0,1.009,0.357,0.643
