Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90
55,Ayman Aiki,fr FRA,MF,Saint-Étienne,fr Ligue 1,19,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Ola Aina,ng NGA,DF,Nottingham Forest,eng Premier League,27,1996,35,35,"2,995",33.3,2,1,3,2,0,0,5,0,0.06,0.03,0.09,0.06,0.09
57,Rayan Aït-Nouri,dz ALG,"MF,DF",Wolves,eng Premier League,23,2001,37,37,"3,109",34.5,4,7,11,4,0,0,7,1,0.12,0.2,0.32,0.12,0.32
58,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26,1998,24,17,"1,438",16,0,0,0,0,0,0,5,0,0,0,0,0,0
60,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30,1994,31,29,"2,495",27.7,13,2,15,13,0,1,5,0,0.47,0.07,0.54,0.47,0.54
61,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,29,1995,26,23,"2,014",22.4,0,0,0,0,0,0,3,0,0,0,0,0,0
62,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20,2003,9,6,500,5.6,0,0,0,0,0,0,2,0,0,0,0,0,0
63,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Ilias Akhomach,ma MAR,MF,Villarreal,es La Liga,20,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.15,0,0.15,0.15,0.15
65,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26,1997,30,29,"2,523",28,2,3,5,2,0,0,5,0,0.07,0.11,0.18,0.07,0.18
66,Maghnes Akliouche,fr FRA,MF,Monaco,fr Ligue 1,22,2002,32,27,"2,406",26.7,5,10,15,4,1,1,2,0,0.19,0.37,0.56,0.15,0.52
67,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26,1997,2,0,19,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0
68,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22,2001,31,29,"2,486",27.6,0,1,1,0,0,0,7,0,0,0.04,0.04,0,0.04
69,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31,1992,14,12,966,10.7,0,0,0,0,0,0,4,0,0,0,0,0,0
70,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,22,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29,1995,32,23,"2,220",24.7,0,0,0,0,0,0,3,0,0,0,0,0,0
72,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28,1995,14,6,639,7.1,3,1,4,2,1,2,0,0,0.42,0.14,0.56,0.28,0.42
73,David Alaba,at AUT,DF,Real Madrid,es La Liga,32,1992,7,4,317,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0
74,Ibrahim Alani,ng NGA,MF,Valladolid,es La Liga,18,2006,3,1,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Andreas Albers,dk DEN,"FW,MF",St Pauli,de Bundesliga,34,1990,14,0,62,0.7,1,0,1,1,0,0,0,0,1.45,0,1.45,1.45,1.45
76,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38,1985,15,14,"1,188",13.2,0,0,0,0,0,0,5,0,0,0,0,0,0
77,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Carlos Alcaraz,ar ARG,MF,Everton,eng Premier League,21,2002,15,7,764,8.5,2,3,5,2,0,0,4,0,0.24,0.35,0.59,0.24,0.59
79,Omar Alderete,py PAR,DF,Getafe,es La Liga,27,1996,34,34,"2,971",33,1,0,1,1,0,0,8,0,0.03,0,0.03,0.03,0.03
80,Carles Aleñá,es ESP,MF,Getafe,es La Liga,26,1998,10,5,452,5,0,0,0,0,0,0,1,0,0,0,0,0,0
81,Carles Aleñá,es ESP,MF,Alavés,es La Liga,26,1998,14,13,"1,090",12.1,0,2,2,0,0,0,1,0,0,0.17,0.17,0,0.17
82,Ben Alexander Voll,de GER,GK,St Pauli,de Bundesliga,23,2000,2,1,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0
83,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25,1998,33,28,"2,365",26.3,3,6,9,3,0,0,5,0,0.11,0.23,0.34,0.11,0.34
84,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25,1999,26,14,"1,371",15.2,5,2,7,5,0,0,1,1,0.33,0.13,0.46,0.33,0.46
