"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"98;""Rubén Sobrino"";""Cadiz"";33;2489;3;2;5.52;2.51;0.2;0.09;0.29;0.29;0.38;0.1",
"99;""Mikel Vesga"";""Athletic Club"";36;2566;3;3;3.87;1.51;0.14;0.05;0.19;0.11;0.33;0.29",
"100;""Sergi Guardiola"";""Cadiz","Real Valladolid"";31;1702;3;0;4.29;0.56;0.23;0.03;0.26;0.26;0.28;0.05"
"101;""Mouctar Diakhaby"";""Valencia"";29;2452;3;0;3.12;0.21;0.11;0.01;0.12;0.12;0.19;0.17",
"102;""Mario Hermoso"";""Atletico Madrid"";26;2110;3;2;2.93;2.01;0.13;0.09;0.21;0.21;0.54;0.49",
"103;""Rubén Alcaraz"";""Cadiz"";31;2059;3;0;3.62;1.84;0.16;0.08;0.24;0.14;0.23;0.14",
"104;""William Carvalho"";""Real Betis"";33;2478;3;0;3.33;1.49;0.12;0.05;0.18;0.18;0.43;0.29",
"105;""Santiago Comesaña"";""Rayo Vallecano"";35;2498;3;2;2.69;1.8;0.1;0.07;0.16;0.16;0.28;0.18",
"106;""Juan Miranda"";""Real Betis"";21;1472;3;2;2.53;2.91;0.15;0.18;0.33;0.33;0.41;0.18",
"107;""Ander Barrenetxea"";""Real Sociedad"";23;845;3;1;3.4;0.85;0.36;0.09;0.45;0.45;0.52;0.18",
"108;""Iván Martín"";""Girona"";24;1602;3;3;2.67;2.98;0.15;0.17;0.32;0.32;0.61;0.39",
"109;""Carles Pérez"";""Celta Vigo"";35;2143;3;5;2.21;1.79;0.09;0.07;0.17;0.17;0.34;0.19",
"110;""Joseph Aidoo"";""Celta Vigo"";35;3125;3;0;1.42;0.08;0.04;0;0.04;0.04;0.19;0.16",
"111;""Dani Rodríguez"";""Mallorca"";35;2149;3;6;2.9;3.04;0.12;0.13;0.25;0.25;0.3;0.16",
"112;""Nemanja Gudelj"";""Sevilla"";34;2772;3;1;2.14;0.57;0.07;0.02;0.09;0.09;0.16;0.12",
"113;""João Félix"";""Atletico Madrid"";14;646;3;3;3.4;1.82;0.47;0.25;0.73;0.73;0.86;0.19",
"114;""Monchu"";""Real Valladolid"";33;2036;3;2;2.38;2.8;0.11;0.12;0.23;0.23;0.27;0.16",
"115;""Aimar Oroz"";""Osasuna"";31;2031;3;6;3.85;2.97;0.17;0.13;0.3;0.27;0.36;0.16",
"116;""Marcos Acuña"";""Sevilla"";30;1919;3;2;0.79;5.48;0.04;0.26;0.29;0.29;0.41;0.3",
"117;""Diego López"";""Valencia"";10;439;3;1;3.17;1.54;0.65;0.32;0.97;0.97;1.08;0.21",
"118;""José Ángel Carmona"";""Elche"";19;1128;1;0;1.85;0.49;0.15;0.04;0.19;0.19;0.19;0.06"
"119;""Arnau Martinez"";""Girona"";33;2749;3;4;1.69;4.48;0.06;0.15;0.2;0.2;0.35;0.25",
"120;""Srdjan Babic"";""Almeria"";34;2997;3;0;1.45;0.2;0.04;0.01;0.05;0.05;0.19;0.19",
"121;""Largie Ramazani"";""Almeria"";33;1379;3;1;4.35;1.96;0.28;0.13;0.41;0.36;0.51;0.16",
"122;""César Montes"";""Espanyol"";20;1582;3;0;0.91;0;0.05;0;0.05;0.05;0.15;0.14",
"123;""Viktor Tsygankov"";""Girona"";19;1501;3;6;2.37;2.83;0.14;0.17;0.31;0.31;0.47;0.22",
"124;""David Silva"";""Real Sociedad"";28;2006;2;5;5.6;4.56;0.25;0.2;0.46;0.46;0.77;0.36",
"125;""Falcao"";""Rayo Vallecano"";27;557;2;0;3.33;0.11;0.54;0.02;0.56;0.44;0.41;0.15",
"126;""Oriol Romeu"";""Girona"";33;2955;2;0;1.95;0.79;0.06;0.02;0.08;0.08;0.42;0.39",
"127;""Pablo Maffeo"";""Mallorca"";35;2984;2;4;1.98;2.93;0.06;0.09;0.15;0.15;0.18;0.1",
"128;""Suso"";""Sevilla"";25;1050;2;4;1.1;2.84;0.09;0.24;0.34;0.34;0.45;0.19",
"129;""Rodrigo de Paul"";""Atletico Madrid"";30;1964;2;7;1.4;6.69;0.06;0.31;0.37;0.37;0.71;0.46",
"130;""Jordi Alba"";""Barcelona"";24;1414;2;3;0.77;7.08;0.05;0.45;0.5;0.5;0.91;0.64",
"131;""Francisco Portillo"";""Almeria"";27;659;2;1;0.47;0.97;0.06;0.13;0.2;0.2;0.62;0.49",
